Cycle,SmokingStatus,Marker,Comparison,Group1 n,Group2 n,t-stat,p-value,Significant
2003-2004,Current daily smoker,NLR,None vs Low,170,18,-0.258,0.79802,False
2003-2004,Current daily smoker,MLR,None vs Low,170,18,-1.689,0.10748,False
2003-2004,Current daily smoker,PLR,None vs Low,170,18,0.488,0.62883,False
2003-2004,Current daily smoker,SII,None vs Low,170,18,1.061,0.29161,False
2003-2004,Current daily smoker,CRP,None vs Low,168,16,-0.794,0.43932,False
2003-2004,Current daily smoker,BloodMercury,None vs Low,170,18,1.979,0.05411,False
2003-2004,Current daily smoker,NLR,None vs Medium,170,40,0.852,0.39586,False
2003-2004,Current daily smoker,MLR,None vs Medium,170,40,-0.26,0.79575,False
2003-2004,Current daily smoker,PLR,None vs Medium,170,40,0.778,0.43919,False
2003-2004,Current daily smoker,SII,None vs Medium,170,40,1.167,0.24458,False
2003-2004,Current daily smoker,CRP,None vs Medium,168,40,1.411,0.16257,False
2003-2004,Current daily smoker,BloodMercury,None vs Medium,170,40,1.314,0.19284,False
2003-2004,Current daily smoker,NLR,None vs High,170,602,1.499,0.13546,False
2003-2004,Current daily smoker,MLR,None vs High,170,602,0.016,0.987,False
2003-2004,Current daily smoker,PLR,None vs High,170,602,1.066,0.28759,False
2003-2004,Current daily smoker,SII,None vs High,170,602,1.08,0.28135,False
2003-2004,Current daily smoker,CRP,None vs High,168,602,1.961,0.05071,False
2003-2004,Current daily smoker,BloodMercury,None vs High,170,606,-0.939,0.34857,False
2003-2004,Current non-daily smoker,NLR,None vs High,23,151,-0.619,0.54035,False
2003-2004,Current non-daily smoker,MLR,None vs High,23,151,-1.313,0.19857,False
2003-2004,Current non-daily smoker,PLR,None vs High,23,151,0.156,0.87711,False
2003-2004,Current non-daily smoker,SII,None vs High,23,151,-0.837,0.40883,False
2003-2004,Current non-daily smoker,CRP,None vs High,23,149,0.294,0.77005,False
2003-2004,Current non-daily smoker,BloodMercury,None vs High,23,152,-0.304,0.76252,False
